iter	Passed	Remaining
0	5	546
1	13	651
2	21	690
3	22	549
4	31	592
5	39	616
6	46	619
7	54	631
8	64	650
9	73	658
10	81	658
11	89	652
12	96	645
13	103	634
14	111	629
15	117	617
16	124	608
17	131	597
18	138	588
19	145	580
20	152	573
21	158	562
22	164	552
23	171	544
24	178	534
25	184	524
26	191	516
27	197	507
28	202	496
29	203	474
30	209	466
31	216	459
32	222	452
33	229	445
34	234	435
35	240	427
36	247	420
37	253	414
38	260	406
39	265	398
40	272	392
41	278	384
42	284	377
43	289	368
44	294	359
45	298	350
46	303	342
47	308	334
48	313	326
49	318	318
50	324	311
51	329	303
52	334	296
53	339	289
54	345	282
55	350	275
56	355	268
57	360	261
58	365	254
59	371	247
60	376	240
61	381	234
62	386	227
63	392	220
64	397	213
65	402	207
66	407	200
67	412	194
68	417	187
69	422	181
70	427	174
71	432	168
72	437	161
73	442	155
74	447	149
75	453	143
76	458	136
77	462	130
78	468	124
79	473	118
80	479	112
81	484	106
82	489	100
83	491	93
84	496	87
85	496	80
86	501	74
87	506	69
88	511	63
89	516	57
90	521	51
91	526	45
92	531	40
93	536	34
94	541	28
95	546	22
96	552	17
97	557	11
98	562	5
99	567	0
